Title,Short explain,Subtitle,Seconed button,Seconed button - Text,Seconed button 2,Seconed button 2 - Text,Seconed explain,Seconed picture,Third subtitle,Third button,Third button - Text,Third explain,Third picture,Four Subtitle,Four  button,Four  button - Text,Four  button 2,Four  button - Text,Four  explain,Four  picture,Fifth subtitle,Fifth button,Fifth button - Text,Fifth button 2,Fifth button 2 - Text,Fifth explain,Fifth picture,Six subtitle,Six button,Six button - Text,Six button 2,Six button 2- Text,Six explain,Six picture,HMO,serial number,Category,Sub-category,Notes,Rank 
פתרונות זמניים להנגשת מדרגות גישה לבית ,"
כחלק מהשינוי ולטובת צמצום התלות והעלאת רמת הבטיחות נמליץ על התקנת רמפה נגישה ו/או הוספת מאחזי יד, כמו כן חשוב להתקין תאורה חזקה במרחב הכניסה לבית.
השאלת/השכרת רמפה ניידת (או בשמה המקצועי זחליל) דרך או קופת החולים כללית (בהשתתפות עצמית, כאשר החל מה01/04/2025 עובר לאחריות הקופה) ",מימוש והגשה,https://cbm.org.il/medi-products/?pc,ציוד כללית, https://yad-sarah.net/,ציוד יד שרה,,,מוצרים בהשתתפות אישית, https://cbm.org.il/medi-products/?pc=,ציוד בהשתתפות כללית,"

פנו למטפל/אחות/פיזיותרפיסט ובקשו הפניה שתכלול אבחנה רפואית, המלצה והפניה לרכישה של הפריט. העבירו את ההפניה למזכירות המרפאה. לאחר קבלת האישור, כללית הנדסה יצרו איתכם קשר לטובת תיאום מול ספק מאושר לטובת הזמנה של המכשיר. האישור תקף לחצי שנה ואת ההשתתפות העצמאית יש לשלם ישירות לספק.  ",,רשויות תומכות נוספות, https://www.gov.il/he/service/request-to-improve-housing-conditions-for-handicapped,בדיקת סיוע משרד השיכון,רישום אצלנו,סיוע בירור מול העירייה,"על אף שהרופאים צופים חזרה לתפקוד מלא, יש לשקול הערכות למצב עתידי שבו יהיה צורך ברמפה קבועה, ניתן להגיש בקשה לסיוע במימון התאמות נגישות לבית ממשרד הבינוי והשיכון                   מספר רשויות מקומיות ועיריות מציעות סיוע במימון התאמות נגישות לבתים במקרים אלו, בדקו זכאות מול מחלקת הרווחה של אזור המגורים",,,,,,,,,,,,,,,,כללית,InfoCard_home-adjustments_11,התאמת הבית,,,
פתרונות קבועים להנגשת הכניסה לבית,"
כחלק מהשינוי ולטובת צמצום התלות והעלאת רמת הבטיחות נמליץ על התקנת רמפה נגישה ו/או הוספת מאחזי יד, כמו כן חשוב להתקין תאורה חזקה במרחב הכניסה לבית.
השאלת/השכרת רמפה ניידת (או בשמה המקצועי זחליל) דרך או קופת החולים כללית (בהשתתפות עצמית, כאשר החל מה01/04/2025 עובר לאחריות הקופה) ",מימוש והגשה,https://cbm.org.il/medi-products/?pc,ציוד כללית, https://yad-sarah.net/,ציוד יד שרה,,,מוצרים בהשתתפות אישית, https://cbm.org.il/medi-products/?pc=,ציוד בהשתתפות כללית,"

פנו למטפל/אחות/פיזיותרפיסט ובקשו הפניה שתכלול אבחנה רפואית, המלצה והפניה לרכישה של הפריט. העבירו את ההפניה למזכירות המרפאה. לאחר קבלת האישור, כללית הנדסה יצרו איתכם קשר לטובת תיאום מול ספק מאושר לטובת הזמנה של המכשיר. האישור תקף לחצי שנה ואת ההשתתפות העצמאית יש לשלם ישירות לספק.  ",,רשויות תומכות נוספות, https://www.gov.il/he/service/request-to-improve-housing-conditions-for-handicapped,בדיקת סיוע משרד השיכון,רישום אצלנו,סיוע בירור מול העירייה,"ניתן להגיש בקשה לסיוע במימון התאמות נגישות לבית ממשרד הבינוי והשיכון                   מספר רשויות מקומיות ועיריות מציעות סיוע במימון התאמות נגישות לבתים במקרים אלו, בדקו זכאות מול מחלקת הרווחה של אזור המגורים",,,,,,,,,,,,,,,,כללית,InfoCard_home-adjustments_12,התאמת הבית,,,
פתרונות להתנהלות עם מדרגות בתוך הבית,"כחלק מהשינוי ולטובת הבטיחות במרחב הביתי נמליץ על מספר התאמות                                            התקנת מעקות או מאחזי יד בשני צידי המדרגות.
התקנת מעלון מדרגות או שימוש בזחליל עולה מדרגות נייד, המאפשרים מעבר בין קומות ללא מאמץ וסכנה בטיחותית.
הוספה של זחליל עולה מדרגות נייד דרך קופת החולים כללית (רמפה נגישה או בשמה המקצועי 'זחליל' יעבור לאחריות הקופה מהראשון לאפריל 2025).

",מימוש והגשה,https://cbm.org.il/medi-products/?pc,ציוד כללית,,,לטובת ייעול וזירוז התהליך נמליץ לקבל המלצה מפיזיותרפיסט או רופא ובה רשום במפורש הצורך ברמפה/זחליל עולה מדרגות נייד. ,,הסתייעות ביד שרה לקבלת ציוד, https://yad-sarah.net/,ציוד יד שרה,"השכרת/השאלת מאחזי יד ניידים ומעלונים
",,דגשים להתאמת המרחב והסתייעות בקופה בתהליך,,,,,"
התקינו תאורה חזקה
סימון מדרגות באמצעות סרט דביק בעל צבע ברור
התקנת מדבקות נגד החלקה על המדרגות

",,אביזרים בהשתתפות עצמית,https://cbm.org.il/medi-products/?pc,ציוד בהשתתפות עצמית כללית,,,"ניתן לקבל אביזרים עזר נוספים דרך הקופה בהשתתפות עצמית, לטובת כך פנו למטפל/אחות/פיזיותרפיסט ובקשו הפניה שתכלול אבחנה רפואית, המלצה והפניה לרכישה של הפריט. העבירו את ההפניה למזכירות המרפאה. לאחר קבלת האישור, כללית הנדסה יצרו איתכם קשר לטובת תיאום מול ספק מאושר לטובת הזמנה של המכשיר. האישור תקף לחצי שנה ואת ההשתתפות העצמאית יש לשלם ישירות לספק.  ",,רשויות נוספות, https://www.gov.il/he/service/request-to-improve-housing-conditions-for-handicapped,בדיקת סיוע משרד השיכון,רישום אצלנו,סיוע בירור מול העירייה,"ניתן להגיש בקשה לסיוע במימון התאמות נגישות לבית ממשרד הבינוי והשיכון 
מספר רשויות מקומיות ועיריות מציעות סיוע במימון התאמות נגישות לבתים במקרים אלו, בדקו זכאות מול מחלקת הרווחה של אזור המגורים",,כללית,InfoCard_home-adjustments_13,התאמת הבית,,,
בטיחות שטיחים ומרצפות,"מומלץ להימנע משטיחים בבית במצב הרפואי הנוכחי, לאחר הזזת השטיחים חשוב להתאים את התאורה כך שלא יווצרו החזרי אור מסוונרים מהריצפה העלולים לגרום לסחרחורות ואובדן שיווי משקל. במידה תבחרו להשאיר את השטיחים נמליץ לבצע התאמות בטיחות  
",התאמות ובטיחות שטיחים,,,,,"
להשתמש בשטיחים דקים עם מדבקות מונעות החלקה.
השתמשו ברהיטים כבדים כמשקולת בקצוות השטיח כדי לקבע אותם


",,שימו לב,,," במידה ותחליטו כן להשאיר שטיחים בבית, נמליץ מאוד לא למקם שטיחים במסלולים מרכזיים כמו בין המיטה לשירותים.",,התאמת תאורה,,,,,החליפו נורות אור לבן לתאורה צהובה-כתומה ,,,,,,,,,,,,,,,,כללית,InfoCard_home-adjustments_14,התאמת הבית,,,
התאמת המקלחון וחדר הרחצה,על מנת למנוע החלקה או נפילה במקלחת נמליץ על רחצה בישיבה ועל שימוש באביזרים מייצבים ומונעי החלקה בזמן הרחצה ובעת הכניסה והיציאה מהמקלחון או חדר הרחצה. ,התאמות ובטיחות רחצה,,,,,"התקנת ידיות אחיזה יציבות בתוך המקלחון כדי לספק תמיכה בזמן הכניסה, היציאה והרחצה.
הנחת משטח מונע החלקה על רצפת המקלחון.
התקנה של דלתות מותאמות בשביל ליצר גישה ומרחב פעולה 
התקנת כסא רחצה מתקפל או כיסא מותאם לנכים, המאפשר לשבת בזמן הרחצה.
לוודא שגובה ברזי המים והדוש נגישים, ולהתאים את מוט המקלחון אל גובה ישיבה התקנה של דלתות מותאמות בשביל ליצר גישה ומרחב פעולה",,מוצרים בהשתתפות אישית,https://cbm.org.il/medi-products/?pc=walker%2C%D7%9B%D7%A1%D7%90%D7%95%D7%AA-%D7%A8%D7%97%D7%A6%D7%94%2Ca-crane-for-the-mobility-of-the-disabled%2Cseating-system%2Camidon,ציוד בהשתתפות כללית,"

פנו למטפל/אחות/פיזיותרפיסט ובקשו הפניה שתכלול אבחנה רפואית, המלצה והפניה לרכישה של הפריט. העבירו את ההפניה למזכירות המרפאה. לאחר קבלת האישור, כללית הנדסה יצרו איתכם קשר לטובת תיאום מול ספק מאושר לטובת הזמנה של המכשיר. האישור תקף לחצי שנה ואת ההשתתפות העצמאית יש לשלם ישירות לספק.  ",,רשויות תומכות נוספות,https://www.gov.il/he/service/request-to-improve-housing-conditions-for-handicapped,,,,"ניתן להגיש בקשה לסיוע במימון התאמות נגישות לבית ממשרד הבינוי והשיכון 
מספר רשויות מקומיות ועיריות מציעות סיוע במימון התאמות נגישות לבתים במקרים אלו, בדקו זכאות מול מחלקת הרווחה של אזור המגורים",,דינמיקה והתנהלות,,,,,"זו עלולה להיות סיטואציה לא נעימה אך נמליץ בפעמים הראשונות, הקפידו על מלווה בזמן המקלחת. להמשך הדרך נמליץ על התקנה של לחצן מצוקה בחדר הרחצה",,,,,,,,,כללית,InfoCard_home-adjustments_15,התאמת הבית,,,
התאמת האמבטיה וחדר הרחצה,"על מנת למנוע החלקה או נפילה באמבטיה נמליץ על רחצה בישיבה ועל שימוש באביזרים מייצבים ומונעי החלקה בזמן הרחצה ובעת הכניסה והיציאה מהאמבטיה וחדר הרחצה, קיימים פתרונות שונים הממונים ע""י הקופה.
",התאמות ובטיחות רחצה,,,,,"
התקנת ידיות אחיזה יציבות בשני צידי האמבטיה ובנקודות קריטיות כמו הכניסה והיציאה.
שימוש במשטח מונע החלקה בתוך האמבטיה ועל הרצפה סביבה.
הוספת כסא רחצה מותאם המאפשר רחצה בישיבה. 
התקנת מעלון אמבטיה (כיסא ממונע) שמרים ומוריד את המשתמש בבטחה בתוך האמבטיה ומחוצה לה.
התקנת מנוף הרמה ייעודי שמסייע במעבר מכיסא הגלגלים לאמבטיה ובחזרה.       כסא רחצה מסתובב מסייע להיכנס ולצאת מהאמבטיה בקלות תוך כדי ישיבה.
התקינו לחצן מצוקה או מערכת התראה קולית בתוך חדר הרחצה.
",,מוצרים בהשתתפות אישית,https://cbm.org.il/medi-products/?pc=walker%2C%D7%9B%D7%A1%D7%90%D7%95%D7%AA-%D7%A8%D7%97%D7%A6%D7%94%2Ca-crane-for-the-mobility-of-the-disabled%2Cseating-system%2Camidon,ציוד בהשתתפות כללית,"

פנו למטפל/אחות/פיזיותרפיסט ובקשו הפניה שתכלול אבחנה רפואית, המלצה והפניה לרכישה של הפריט. העבירו את ההפניה למזכירות המרפאה. לאחר קבלת האישור, כללית הנדסה יצרו איתכם קשר לטובת תיאום מול ספק מאושר לטובת הזמנה של המכשיר. האישור תקף לחצי שנה ואת ההשתתפות העצמאית יש לשלם ישירות לספק.  ",,רשויות תומכות נוספות,https://www.gov.il/he/service/request-to-improve-housing-conditions-for-handicapped,בדיקת סיוע משרד השיכון,רישום אצלנו,סיוע בירור מול העירייה,"ניתן להגיש בקשה לסיוע במימון התאמות נגישות לבית ממשרד הבינוי והשיכון 
מספר רשויות מקומיות ועיריות מציעות סיוע במימון התאמות נגישות לבתים במקרים אלו, בדקו זכאות מול מחלקת הרווחה של אזור המגורים",,דינמיקה והתנהלות,,,,,"זו עלולה להיות סיטואציה לא נעימה אך נמליץ בפעמים הראשונות, הקפידו על מלווה בזמן המקלחת. להמשך הדרך נמליץ על התקנה של לחצן מצוקה בחדר הרחצה",,,,,,,,,כללית,InfoCard_home-adjustments_16,התאמת הבית,,,
כסא גלגלים,"המעבר לכיסא גלגלים דורש התאמות רבות בבית ובגישה אליו, כמו כן קיימים סוגים שונים של כיסאות גלגלים ונדרש לראות כי בוחרים את הסוג המתאים ביותר לאדם ולביתו. במסגרת כך נרצה להתייחס להיבטים רבים : התאמת דלתות ומעברים, התאמת נתיבי תנועה והזזת מכשולים, התאמת גבהי רהיטים ומקומות אחסון, התאמת חדר השינה, התאמת אורח החיים, התאמת תוכנית פעילות ושיקום.

",מימוש והגשה,"
https://cbm.org.il/medi-products/?pc=cushion
",כרית לכיסא גלגלים כללית,https://cbm.org.il/medi-products/?pc=spongy-mattress%2Celectric-hospital-bed,מזרון מותאם כללית,"ניתן לקבל מקופת החולים מספר סוגי כיסאות גלגלים וציוד עזר נוסף, לטובת כך, פנו למטפל/אחות/פיזיותרפיסט ובקשו הפניה שתכלול אבחנה רפואית, המלצה והפניה לרכישה של הפריט. העבירו את ההפניה למזכירות המרפאה. לאחר קבלת האישור, כללית הנדסה יצרו איתכם קשר לטובת תיאום מול ספק מאושר לטובת הזמנה של המכשיר. האישור תקף לחצי שנה ואת ההשתתפות העצמאית יש לשלם ישירות לספק.  ",,דגשים להתאמת המרחב,,,"מעברים ודלתות: יש לוודא שרוחב הדלתות והמעברים בבית מתאים למעבר כיסא גלגלים.
רמפות והסרת מכשולים: התקנת רמפות במקום מדרגות והסרת שטיחים, חוטים ומכשולים אחרים שיכולים להפריע לתנועה חלקה ובטוחה.
ידיות אחיזה: התקנת ידיות אחיזה בשירותים ובמקלחת כדי לסייע במעבר ובשמירה על היציבות.
מושב אסלה מוגבה: התקנת מושב אסלה מוגבה מקלה על המעבר מכסא הגלגלים לשירותים ובחזרה. 
נגישות: וודאו שהמיטה, משטחי העבודה ושולחן האוכל מותאמים לגובה כיסא הגלגלים ונגישים לשימוש יומיומי.
אחסון נגיש: מקמו פריטים  המצויים בשימוש יומיומי בגובה מתאים.
מיטה מותאמת עם מזרון למניעת פצעי לחץ: לאפשר כניסה ויציאה מהמיטה ולמנוע ככל הניתן פצעי לחץ. ",,פעילות ושיקום,,,,,"כריות ישיבה: שקלו שימוש בכריות ישיבה מיוחדות למניעת פצעי לחץ ולשמירה על יציבה נכונה.
שינויי תנוחה: עודדו שינויים בתנוחה למניעת לחץ ממושך באזורים רגישים - יש לבדוק עם רופא כיצד נכון למקם.
פיזיותרפיה: בחנו מול הרופא המטפל שילוב של פיזיותרפיה מותאמת לשיפור זרימת הדם ולשמירה על טווחי תנועה.",,התנהלות חברתית ופעילות,,,,,"

שמירה על שגרה: עודדו את ההורה לשמור על הרגלים ופעילות חברתית אותן נהג לעשות טרם הפציעה ככל האפשר.
פעילות מותאמת: עודדו ועזרו למטופל לגבש הרגלי פנאי חדשים ומותאמים למצבו החדש, כמו כן רשויות ועיריות מפעילות מרכזי יום עם חוגים שמותאמים לאנשים בכסאות גלגלים, בדקו לפי מקום המגורים. 
הדרכת המשפחה: וודאו שכל בני המשפחה יודעים כיצד לתפעל את כיסא הגלגלים, כולל קיפול, העמסה לרכב, וכניסה ויציאה מכיסא הגלגלים (למיטה, לכיסא רחצה וכו').


",,רשויות נוספות, https://www.gov.il/he/service/request-to-improve-housing-conditions-for-handicapped,בדיקת סיוע משרד השיכון,רישום אצלנו,סיוע בירור מול העירייה,"ניתן להגיש בקשה לסיוע במימון התאמות נגישות לבית ממשרד הבינוי והשיכון , כמו כן מספר רשויות מקומיות ועיריות מציעות סיוע במימון התאמות נגישות לבתים במקרים אלו, בדקו זכאות מול מחלקת הרווחה של אזור המגורים.

",,כללית,InfoCard_home-adjustments_17,התאמת הבית,,,
לחצן מצוקה,"נמליץ על שימוש בלחצני מצוקה, קיימת חשיבות לנגישות וזמינות של לחצני המצוקה במרחבים שונים בבית בדגש על חדר השינה, חדר הרחצה והשירותים. לטובת כך ניתן או להתקין מספק לחצנים בבית או להשתמש בלחצן נייד / לביש",מימוש והגשה,https://www.btl.gov.il/benefits/Long_Term_Care/sherutim/Pages/mashdermetzuka.aspx,שימוש בקצבת סיעוד ללחצן מצוקה,רישום אצלנו,לסיוע עם בירור על עמותה באזור המגורים,"
קופות חולים ממנות/משתתפות בהוצאות בהתאם למסלול
קצבת סיעוד מאפשרת לקבל את השירות בתמורה לרבע או חצי שעת טיפול שבועית 
בנוסף נמליץ לבדוק מול עמותת בסמוך לאזור המגורים
",,דגשים לשימוש,,,"לחצן מצוקה נייח: לוודא שמותקן במקום נגיש למטופל או מיקום ממנו ישמע קולו היטב ויפעיל את הלחצן (תלוי אם הלחצן הינו על בסיס מגע או צליל). 
לחצן מצוקה נייד: לוודא שהוא עמיד במים.
ישנם לחצני מצוקה בעלי תקשורת דו כיוונית כך שהמטופל יכול לקבל הדרכה בעודו מחכה לעזרה. 
חשוב לוודא שהמטופל ואתם יודעים לתפעל בעת הצורך.
",,,,,,,,,,,,,,,,,,,,,,,כללית,InfoCard_home-adjustments_18,התאמת הבית,,,
התאמת המיטה,"מיטה נוחה ומותאמת הינה חיונית הן לתהליך ההחלמה ולבטיחות, מכיוון שנפילות חוזרות מרובות קורות בעת התעוררות וקימה מהמיטה בשעות הלילה.",מימוש והגשה,https://cbm.org.il/medi-products/?pc=spongy-mattress%2Celectric-hospital-bed,מיטה סיעודית כללית,,,"ניתן לקבל מספר סוגי מיטה סיעודית ומזרן / מזרן למניעת פצעי לחץ מקופת החולים כללית.לטובת כך, פנו למטפל/אחות/פיזיותרפיסט ובקשו הפניה שתכלול אבחנה רפואית, המלצה והפניה לרכישה של הפריט. העבירו את ההפניה למזכירות המרפאה. לאחר קבלת האישור, כללית הנדסה יצרו איתכם קשר לטובת תיאום מול ספק מאושר לטובת הזמנה של המכשיר. האישור תקף לחצי שנה ואת ההשתתפות העצמאית יש לשלם ישירות לספק. 
",,בחירת המיטה והתאמת הסביבה,,,"מיטה מתכווננת חשמלית מאפשרת הרמה של פלג הגוף העליון והרגליים להקלה על כאבים ולסיוע במעבר משכיבה לישיבה.
מעקה בטיחות למיטה מסייע להימנע מנפילה ומאפשר אחיזה בטוחה בעת מעבר משכיבה לישיבה.
ידיות עזר בצדי המיטה מאפשרות להיעזר בידיו כדי להתיישב או לצאת מהמיטה באופן עצמאי יותר.
כריות תמיכה אורטופדיות מסייעות במניעת פצעי לחץ ובהתאמת תנוחת השינה לנוחות מרבית.
מקמו שידה נמוכה או מגש מיטה מתכוונן שמאפשרים הנחת חפצים חיוניים כמו כוס מים, משקפים ותרופות בהישג יד.
שטיחון מונע החלקה ליד המיטה.",,רשויות נוספות, https://www.gov.il/he/service/request-to-improve-housing-conditions-for-handicapped,בדיקת סיוע משרד השיכון,רישום אצלנו,סיוע בירור מול העירייה,"ניתן להגיש בקשה לסיוע במימון התאמות נגישות לבית ממשרד הבינוי והשיכון 
מספר רשויות מקומיות ועיריות מציעות סיוע במימון התאמות נגישות לבתים במקרים אלו, בדקו זכאות מול מחלקת הרווחה של אזור המגורים",,התנהלות,,,,,"בתחילת הדרך לאחר השבר, רצוי מאוד שתהיה השגחה בעת קימה מהמיטה כדי להפחית את הסיכון לנפילות.",,,,,,,,,כללית,InfoCard_home-adjustments_19,התאמת הבית,,,
פתרונות זמניים להנגשת מדרגות גישה לבית ,"כחלק מהשינוי ולטובת הבטיחות במרחב הביתי נמליץ על מספר התאמות                                            התקנת מעקות או מאחזי יד בשני צידי המדרגות.
התקנת מעלון מדרגות או שימוש בזחליל עולה מדרגות נייד, המאפשרים מעבר בין קומות ללא מאמץ וסכנה בטיחותית.

",מימוש והגשה, https://yad-sarah.net/,ציוד יד שרה,,,לטובת זירוז וייעול  התהליךמול הקופה נמליץ לקבל המלצה מפיזיותרפיסט או רופא ובה ישנה התייחסות קונקרטית לצורך. כמו כן בררו מול קופת החולים שלכם בדבר זכאות לסיוע ומוצרים . כמו כן ניתן להשאיל / להשכיר מוצרים באמצעות יד שרה,,רשויות תומכות נוספות, https://www.gov.il/he/service/request-to-improve-housing-conditions-for-handicapped,בדיקת סיוע משרד השיכון,"על אף שהרופאים צופים חזרה לתפקוד מלא, יש לשקול הערכות למצב עתידי שבו יהיה צורך ברמפה קבועה, ניתן להגיש בקשה לסיוע במימון התאמות נגישות לבית ממשרד הבינוי והשיכון                   מספר רשויות מקומיות ועיריות מציעות סיוע במימון התאמות נגישות לבתים במקרים אלו, בדקו זכאות מול מחלקת הרווחה של אזור המגורים",,,,,,,,,,,,,,,,,,,,,,,אחר,InfoCard_home-adjustments_104,התאמת הבית,,,
